director_id,movie_count,movie_ids
nm5563885,4897,"tt10139596,tt10139630,tt10139984,tt10178066,tt10178072,tt10178078,tt10178092,tt10178098,tt10180176,tt10180234,tt10180274,tt10322142,tt10348712,tt10348732,tt10348738,tt10348740,tt10348742,tt10348744,tt10348746,tt10348748"
nm0136649,4885,"tt0144070,tt0154073,tt0169441,tt0181214,tt0187652,tt0207880,tt0233026,tt0242208,tt0380845,tt0380964,tt0380967,tt0391666,tt0482140,tt0567611,tt0567612,tt0567613,tt0823944,tt0823945,tt0823946,tt0823947"
nm10430000,4881,"tt10235708,tt11396562,tt12480224,tt12587808,tt12665000,tt14078264,tt14161962,tt14167528,tt14214238,tt14214244,tt14214246,tt14214248,tt14214250,tt14214252,tt14214256,tt14214260,tt14214262,tt14214264,tt14214268,tt14214270"
nm0024063,4878,"tt0115248,tt0115299,tt0115357,tt0118449,tt0137316,tt0142039,tt0187650,tt0236903,tt0281443,tt0310537,tt0375433,tt0389708,tt0391587,tt0391681,tt0481982,tt0482140,tt0487850,tt0487863,tt0585787,tt0600176"
nm3213427,4772,"tt11192392,tt11289258,tt11289272,tt11289276,tt11289278,tt11289282,tt11289284,tt11289288,tt11289290,tt11289294,tt11289296,tt11289298,tt11289300,tt11289304,tt11289306,tt11289308,tt11289310,tt11289314,tt11289316,tt11289318"
nm8744023,4751,"tt10235384,tt10515034,tt10517330,tt10517556,tt10518488,tt10518642,tt10518778,tt10529974,tt10529982,tt10529996,tt10530028,tt10530158,tt10532028,tt10533590,tt10539242,tt10539592,tt10539682,tt10540140,tt10540408,tt10540452"
nm0195270,4692,"tt0212677,tt0213346,tt0215425,tt0224941,tt0270789,tt0273013,tt0312176,tt0355112,tt0358790,tt0361215,tt0368544,tt0375503,tt0396339,tt0398446,tt0398459,tt0401958,tt0401967,tt0401972,tt0404641,tt0461884"
nm4540894,4673,"tt10188100,tt10867716,tt10872878,tt10872882,tt10872886,tt10872888,tt10872892,tt10872894,tt10872896,tt10872898,tt10872900,tt10872902,tt10872904,tt10872906,tt10872908,tt10872910,tt10872912,tt10872914,tt10873132,tt10877254"
nm4371943,4666,"tt0398494,tt10020088,tt10020140,tt10020146,tt10020150,tt10020162,tt10020164,tt10020166,tt10020168,tt10020170,tt10020172,tt10020178,tt10020180,tt10020182,tt10020184,tt10020186,tt10020188,tt10020196,tt10020198,tt10020204"
nm10631069,4634,"tt10196034,tt10206202,tt10206218,tt10206220,tt10206222,tt10206224,tt10206226,tt10206228,tt10206230,tt10206232,tt10206234,tt10206236,tt10206240,tt10206242,tt10206244,tt10206246,tt10206248,tt10206250,tt10206252,tt10206254"
